                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6556,                 1.5063,                 0.9532,                0.32938,                0.29303,                0.25599,                0.11083,                 1.9803,                 1.4942,                0.96738,             0.00041471,             0.00041471,             0.00041471
                      2,                 1.7105,                 1.5516,                0.96703,                0.34344,                0.31191,                0.25333,                  0.104,                 2.0111,                 1.5113,                0.97328,             0.00082315,             0.00082315,             0.00082315
                      3,                 1.7573,                 1.5843,                0.96958,                0.34625,                0.29014,                0.23586,                0.09957,                 2.0108,                 1.5827,                0.98861,              0.0012233,              0.0012233,              0.0012233
                      4,                 1.7684,                 1.5964,                0.97983,                0.32483,                0.28885,                0.23279,                0.09421,                 2.0059,                 1.6042,                 0.9886,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.7456,                 1.5825,                0.96673,                0.33605,                0.31831,                0.26575,                0.11357,                 2.0107,                 1.5541,                0.98039,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.749,                 1.5689,                0.97452,                0.31563,                0.32761,                 0.2577,                0.11182,                 1.9456,                 1.4674,                0.97743,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.7081,                 1.5098,                0.97429,                0.32543,                 0.3109,                0.26412,                0.11308,                 1.9926,                 1.4906,                0.97338,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.7304,                 1.5027,                0.97095,                0.33316,                0.30611,                0.26518,                 0.1071,                 1.9878,                 1.5181,                0.96468,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.7021,                 1.4779,                0.96249,                 0.3668,                0.29367,                0.26523,                0.11615,                 1.9075,                  1.469,                0.96944,               0.001151,               0.001151,               0.001151
                     10,                 1.6793,                 1.4651,                0.95694,                0.32283,                0.31227,                0.25854,                0.11075,                 1.9559,                 1.4636,                 0.9721,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.649,                 1.4205,                0.94945,                0.36775,                0.33709,                0.27727,                0.11914,                 1.9739,                 1.4371,                 0.9632,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.663,                 1.4265,                 0.9551,                0.34338,                0.29871,                0.23644,                0.09555,                 2.0379,                 1.6115,                0.98864,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.6759,                 1.4372,                0.96096,                0.37808,                0.33019,                0.27795,                0.11512,                 1.9615,                 1.5005,                 0.9727,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.6614,                 1.4183,                0.94706,                0.39739,                0.31645,                0.27709,                0.12138,                 1.9794,                 1.4315,                0.97575,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.6339,                 1.3963,                0.94285,                0.33052,                0.34338,                0.28817,                0.12303,                 1.9638,                 1.4014,                0.96193,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.6294,                 1.4165,                0.95501,                0.32487,                0.32862,                0.27933,                0.11548,                 1.9395,                 1.4427,                0.96073,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.6384,                  1.371,                0.94065,                0.34523,                0.34803,                0.30105,                0.12912,                 1.8889,                 1.3806,                0.95826,               0.001052,               0.001052,               0.001052
                     18,                 1.6204,                 1.3611,                0.94864,                0.35917,                0.34827,                0.28455,                0.12258,                 1.9644,                 1.3684,                0.96697,              0.0010396,              0.0010396,              0.0010396
                     19,                   1.61,                 1.3563,                0.94269,                0.32009,                0.33469,                0.28653,                0.12228,                  1.936,                 1.3937,                0.96498,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.5911,                 1.3482,                0.93268,                0.36392,                0.33537,                0.29157,                0.12952,                 1.9388,                 1.3901,                0.96237,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.5918,                 1.3618,                0.94279,                0.37719,                0.33723,                0.28332,                 0.1201,                 1.9673,                 1.3581,                0.96865,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.5936,                 1.3241,                0.93337,                0.35661,                0.34889,                 0.2925,                0.12557,                 1.9795,                 1.3659,                 0.9675,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.6009,                 1.3558,                0.94088,                0.33876,                0.32938,                0.27436,                0.11829,                 1.8948,                 1.4402,                0.95622,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.5802,                 1.3341,                0.93999,                0.32666,                0.34711,                0.27876,                0.12111,                 1.9308,                 1.3656,                0.96286,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.6044,                  1.348,                0.94088,                0.34683,                0.35721,                0.30385,                0.13029,                 1.9173,                  1.343,                0.96227,               0.000953,               0.000953,               0.000953
                     26,                 1.5747,                 1.3057,                 0.9319,                0.34219,                0.32061,                0.28789,                0.12728,                 1.9076,                 1.3761,                0.95772,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.5698,                 1.3062,                0.93256,                0.35939,                0.34007,                0.30213,                0.13079,                 1.9118,                   1.33,                0.96467,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.5507,                 1.2931,                0.92127,                0.32709,                0.35278,                0.30373,                0.13028,                 1.8974,                 1.3575,                0.96015,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.5381,                 1.2824,                 0.9228,                0.38628,                0.34885,                0.30342,                0.12993,                 1.9201,                 1.3371,                0.96372,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.5523,                 1.2618,                0.92139,                0.38147,                0.35163,                 0.3111,                0.13483,                 1.8923,                 1.3291,                0.96312,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.5434,                 1.2673,                0.92933,                0.34807,                0.35543,                0.30509,                0.13256,                 1.8866,                 1.3135,                0.95915,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.5127,                  1.258,                0.91781,                0.36088,                0.35967,                0.30223,                0.13246,                  1.927,                 1.2986,                0.96039,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.5251,                 1.2424,                0.91985,                0.33247,                0.33657,                0.29446,                0.13173,                   1.91,                 1.3765,                0.96058,               0.000854,               0.000854,               0.000854
                     34,                 1.5568,                   1.26,                0.92772,                0.41985,                0.32135,                0.29626,                 0.1323,                 1.9001,                 1.3228,                0.95519,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.5404,                 1.2653,                0.91768,                0.37343,                 0.3728,                 0.3125,                0.13509,                 1.9053,                 1.3113,                0.95839,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.5214,                 1.2414,                0.91922,                 0.3583,                0.34318,                0.29784,                0.13058,                 1.9227,                 1.3391,                0.95745,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.5272,                 1.2509,                0.91988,                0.40901,                0.36208,                0.31536,                0.13832,                 1.8971,                 1.3003,                 0.9608,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.5224,                 1.2384,                 0.9205,                0.41412,                0.35552,                 0.2984,                 0.1306,                 1.9148,                 1.3286,                0.95874,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.5288,                  1.233,                0.91492,                0.37912,                0.34115,                0.29916,                0.12849,                 1.9186,                 1.3256,                0.95611,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.4999,                 1.2177,                0.91506,                0.37332,                0.34187,                0.31246,                0.13815,                 1.9166,                 1.2812,                0.96362,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.4971,                 1.2023,                0.92225,                0.37765,                0.36907,                0.31342,                0.13769,                   1.89,                 1.2979,                0.95837,               0.000755,               0.000755,               0.000755
